Заголовок,Категория,Источник,Дата,Ссылка,Краткое описание
"Школьница объяснилась за подброшенную соседу отрезанную голову кошки","Силовые структуры","LENTA","Fri, 29 May 2026 17:49:00 +0300","https://lenta.ru/news/2026/05/29/shkolnitsa-ob-yasnilas-za-podbroshennuyu-sosedu-otrezannuyu-golovu-koshki/","отсутсвует"
"Еще один энергогигант выступил против платы Ирану за проход судов через Ормуз","Экономика","LENTA","Fri, 29 May 2026 17:48:00 +0300","https://lenta.ru/news/2026/05/29/esche-odin-energogigant-vystupil-protiv-platy-iranu-za-prohod-sudov-cherez-ormuz/","отсутсвует"
"Россиянам объяснили риски для машины от летних поездок на дачу","Авто","LENTA","Fri, 29 May 2026 17:47:00 +0300","https://lenta.ru/news/2026/05/29/rossiyanam-ob-yasnili-riski-dlya-mashiny-ot-letnih-poezdok-na-dachu/","отсутсвует"
"Ситуацию вокруг упавшего в Румынии БПЛА назвали спектаклем","Мир","LENTA","Fri, 29 May 2026 17:43:00 +0300","https://lenta.ru/news/2026/05/29/situatsiyu-vokrug-upavshego-v-rumynii-bpla-nazvali-spektaklem/","отсутсвует"
"Раскрыт исторический показатель младенческой смертности в России","Россия","LENTA","Fri, 29 May 2026 17:43:00 +0300","https://lenta.ru/news/2026/05/29/raskryt-istoricheskiy-pokazatel-mladencheskoy-smertnosti-v-rossii/","отсутсвует"
"Трое мужчин похитили подростка в российском регионе","Силовые структуры","LENTA","Fri, 29 May 2026 17:37:00 +0300","https://lenta.ru/news/2026/05/29/troe-muzhchin-pohitili-podrostka-v-rossiyskom-regione/","отсутсвует"
"Членов семьи курильщиков предупредили о риске смертельного заболевания","Забота о себе","LENTA","Fri, 29 May 2026 17:32:00 +0300","https://lenta.ru/news/2026/05/29/chlenov-semi-kurilschikov-predupredili-o-riske-smertelnogo-zabolevaniya/","отсутсвует"
"Лукашенко раскрыл подробности разговора с Макроном","Бывший СССР","LENTA","Fri, 29 May 2026 17:32:00 +0300","https://lenta.ru/news/2026/05/29/lukashenko-raskryl-podrobnosti-razgovora-s-makronom/","отсутсвует"
"Бывшая российская судья лишилась пенсии и неприкосновенности","Силовые структуры","LENTA","Fri, 29 May 2026 17:26:00 +0300","https://lenta.ru/news/2026/05/29/byvshaya-rossiyskaya-sudya-lishilas-pensii-i-neprikosnovennosti/","отсутсвует"
"Раскрыта стоимость летнего отдыха на юге России","Путешествия","LENTA","Fri, 29 May 2026 17:24:00 +0300","https://lenta.ru/news/2026/05/29/raskryta-stoimost-letnego-otdyha-na-yuge-rossii/","отсутсвует"
"Лукашенко высказался о выходе Армении из ЕАЭС","Бывший СССР","LENTA","Fri, 29 May 2026 17:23:00 +0300","https://lenta.ru/news/2026/05/29/lukashenko-vyskazalsya-o-vyhode-armenii-iz-eaes/","отсутсвует"
"Сыгравшая лысую проститутку в «Брате-2» актриса показала фото дочери в честь ее 23-летия","Ценности","LENTA","Fri, 29 May 2026 17:22:00 +0300","https://lenta.ru/news/2026/05/29/sygravshaya-lysuyu-prostitutku-v-brate-2-aktrisa-pokazala-foto-docheri-v-chest-ee-23-letiya/","отсутсвует"
"Россияне бросились покупать один товар","Экономика","LENTA","Fri, 29 May 2026 17:20:00 +0300","https://lenta.ru/news/2026/05/29/rossiyane-brosilis-pokupat-odin-tovar/","отсутсвует"
"В Польше оценили способность ЕС быть посредником по Украине","Мир","LENTA","Fri, 29 May 2026 17:19:00 +0300","https://lenta.ru/news/2026/05/29/v-polshe-otsenili-sposobnost-es-byt-posrednikom-po-ukraine/","отсутсвует"
"Минюст объявил новых иноагентов","Интернет и СМИ","LENTA","Fri, 29 May 2026 17:19:00 +0300","https://lenta.ru/news/2026/05/29/minyust/","отсутсвует"
"Названа самая высокооплачиваемая рабочая профессия в России","Экономика","LENTA","Fri, 29 May 2026 17:17:43 +0300","https://lenta.ru/news/2026/05/29/nazvana-samaya-vysokooplachivaemaya-rabochaya-professiya-v-rossii/","отсутсвует"
"Водителям назвали последствия перекачки шин","Авто","LENTA","Fri, 29 May 2026 17:17:31 +0300","https://lenta.ru/news/2026/05/29/shiny-davleniye/","отсутсвует"
"Комик Орлов заявил о психических проблемах у большинства юмористов","Интернет и СМИ","LENTA","Fri, 29 May 2026 17:11:30 +0300","https://lenta.ru/news/2026/05/29/nezdorovy-psihicheski/","отсутсвует"
"На нашумевшей выставке в Третьяковке обнаружили подделки","Силовые структуры","LENTA","Fri, 29 May 2026 17:10:55 +0300","https://lenta.ru/news/2026/05/29/na-nashumevshey-vystavke-v-tretyakovke-obnaruzhili-poddelki/","отсутсвует"
"Вызвавший на себя огонь боец описал бой фразой «раненых много, но только у противника»","Россия","LENTA","Fri, 29 May 2026 17:08:00 +0300","https://lenta.ru/news/2026/05/29/vyzvavshiy-na-sebya-ogon-vsu-boets-opisal-boy-frazoy-ranenyh-mnogo-no-tolko-u-protivnika/","отсутсвует"
"В США заявили о поставках Украине «уничтожителей» российских Су-35","Наука и техника","LENTA","Fri, 29 May 2026 17:06:59 +0300","https://lenta.ru/news/2026/05/29/v-ssha-zayavili-o-postavkah-ukraine-unichtozhiteley-rossiyskih-su-35/","отсутсвует"
"Российский посол показал МИД Франции доказательства удара ВСУ по Старобельску","Мир","LENTA","Fri, 29 May 2026 17:06:05 +0300","https://lenta.ru/news/2026/05/29/rossiyskiy-posol-pokazal-mid-frantsii-dokazatelstva-udara-vsu-po-starobelsku/","отсутсвует"
"Россия допустила пилотируемые запуски к Луне с Восточного","Наука и техника","LENTA","Fri, 29 May 2026 17:01:14 +0300","https://lenta.ru/news/2026/05/29/rossiya-dopustila-pilotiruemye-zapuski-k-lune-s-vostochnogo/","отсутсвует"
"Россиянин пойдет под суд за сообщение про терроризм","Силовые структуры","LENTA","Fri, 29 May 2026 17:00:37 +0300","https://lenta.ru/news/2026/05/29/rossiyanin-poydet-pod-sud-za-soobschenie-s-opravdaniem-terrorizma/","отсутсвует"
"Популярная у звезд обувь оказалась опасной для здоровья","Ценности","LENTA","Fri, 29 May 2026 16:58:00 +0300","https://lenta.ru/news/2026/05/29/populyarnaya-u-zvezd-obuv-okazalas-opasnoy-dlya-zdorovya/","отсутсвует"
"Стали известны подробности заявления лидеров ЕАЭС об Армении","Бывший СССР","LENTA","Fri, 29 May 2026 16:57:00 +0300","https://lenta.ru/news/2026/05/29/stali-izvestny-podrobnosti-zayavleniya-liderov-eaes-k-armenii/","отсутсвует"
"Россиянка Андреева вышла в 1/8 финала «Ролан Гаррос»","Спорт","LENTA","Fri, 29 May 2026 16:53:00 +0300","https://lenta.ru/news/2026/05/29/mirra/","отсутсвует"
"Иран назвал свои три принципа ведения переговоров","Мир","LENTA","Fri, 29 May 2026 16:50:00 +0300","https://lenta.ru/news/2026/05/29/iran-nazval-svoi-tri-printsipa-vedeniya-peregovorov/","отсутсвует"
"Названо снижающее накопление жира в печени масло","Наука и техника","LENTA","Fri, 29 May 2026 16:47:00 +0300","https://lenta.ru/news/2026/05/29/nazvano-snizhayuschee-nakoplenie-zhira-v-pecheni-maslo/","отсутсвует"
"Трамп рассказал про нехорошую жену «сонного Джо» и похвастался","Мир","LENTA","Fri, 29 May 2026 16:36:00 +0300","https://lenta.ru/news/2026/05/29/tramp-rasskazal-pro-nehoroshuyu-zhenu-sonnogo-dzho-i-pohvastalsya/","отсутсвует"
"В России родители попались на продаже педофилам интимных фото своих же детей","Силовые структуры","LENTA","Fri, 29 May 2026 16:36:00 +0300","https://lenta.ru/news/2026/05/29/v-rossii-roditeli-popalis-na-prodazhe-pedofilam-intimnyh-foto-svoih-zhe-detey/","отсутсвует"
"Зависимость России от армянских овощей и ягод оценили","Экономика","LENTA","Fri, 29 May 2026 16:36:00 +0300","https://lenta.ru/news/2026/05/29/zavisimost-rossii-ot-armyanskih-ovoschey-i-yagod-otsenili/","отсутсвует"
"Российские танкисты применили самодельный КАЗ для защиты от дронов","Наука и техника","LENTA","Fri, 29 May 2026 16:35:31 +0300","https://lenta.ru/news/2026/05/29/rossiyskie-tankisty-primenili-samodelnyy-kaz-dlya-zaschity-ot-dronov/","отсутсвует"
"В Литве захотели получить ядерное оружие","Бывший СССР","LENTA","Fri, 29 May 2026 16:34:00 +0300","https://lenta.ru/news/2026/05/29/v-litve-zahoteli-poluchit-yadernoe-orudie/","отсутсвует"
"Названы опасные последствия картофельной монодиеты","Забота о себе","LENTA","Fri, 29 May 2026 16:31:00 +0300","https://lenta.ru/news/2026/05/29/nazvany-opasnye-posledstviya-kartofelnoy-monodiety/","отсутсвует"
"Австрия вызвала посла России в связи с инцидентом с дронами в Румынии","Мир","LENTA","Fri, 29 May 2026 16:28:00 +0300","https://lenta.ru/news/2026/05/29/avstriya-vyzvala-posla-rossii-posle-intsidenta-s-dronami-v-rumynii/","отсутсвует"
"В России предложили ввести новый дорожный знак","Авто","LENTA","Fri, 29 May 2026 16:28:00 +0300","https://lenta.ru/news/2026/05/29/v-rossii-predlozhili-vvesti-novyy-dorozhnyy-znak/","отсутсвует"
"Матвиенко призвала снизить первоначальный взнос по ипотеке для части россиян","Экономика","LENTA","Fri, 29 May 2026 16:25:10 +0300","https://lenta.ru/news/2026/05/29/matvienko-prizvala-snizit-pervonachalnyy-vznos-po-ipoteke-dlya-chasti-rossiyan/","отсутсвует"
"Доктор Мясников перенес операцию и выпил стакан пива","Интернет и СМИ","LENTA","Fri, 29 May 2026 16:24:00 +0300","https://lenta.ru/news/2026/05/29/pivo-pivo-pivo/","отсутсвует"
"Российский самолет был поврежден градом и не смог вылететь в Санкт-Петербург","Путешествия","LENTA","Fri, 29 May 2026 16:22:23 +0300","https://lenta.ru/news/2026/05/29/rossiyskiy-samolet-byl-povrezhden-gradom-i-ne-smog-vyletet-v-sankt-peterburg/","отсутсвует"
"Раскрыт неожиданный фактор развития агрессивного вида рака","Наука и техника","LENTA","Fri, 29 May 2026 16:22:17 +0300","https://lenta.ru/news/2026/05/29/raskryt-neozhidannyy-faktor-razvitiya-agressivnogo-vida-raka/","отсутсвует"
